"Epic","Feature","Story","FAILED","BROKEN","PASSED","SKIPPED","UNKNOWN"
"API Тесты","CRUD операции","Получение списка задач","0","0","1","0","0"
"API Тесты","CRUD операции","Удаление задачи","0","0","1","0","0"
"API Тесты","CRUD операции","Получение задачи по идентификатору","0","0","1","0","0"
"API Тесты","CRUD операции","Обновление существующей задачи","0","0","1","0","0"
"UI Тесты","Управление статьями","Редактирование существующей статьи","0","0","1","0","0"
"UI Тесты","Управление статьями","Удаление статьи","0","0","1","0","0"
"UI Тесты","Управление статьями","Работа с комментариями","0","0","1","0","0"
"UI Тесты","Управление статьями","Создание новой статьи","0","0","1","0","0"
"UI Тесты","Управление профилем","Изменение био в профиле","0","0","1","0","0"
"API Тесты","CRUD операции","Создание новой задачи","0","0","1","0","0"
